Date-Time	Sr[0]	Sr[1]	Sr[2]	Sr[3]	Sr[4]	Sr[5]	Sr[6]	Sr[7]	Sr[8]	Sr[9]	Sr[10]	Sr[11]	Sr[12]	Sr[13]	Sr[14]	Sr[15]	Sr[16]	Sr[17]	Sr[18]	Sr[19]	Sr[20]	Sr[21]	Sr[22]	Sr[23]	Sr[24]	Sr[25]	Sr[26]	Sr[27]	Sr[28]	Sr[29]	Sr[30]	Sr[31]	Sr[32]	Sr[33]	Sr[34]	Sr[35]	Sr[36]	Sr[M]
Feb 22 2023 18:04:24	23587.64	745.40	862.67	521.15	582.79	346.50	335.59	224.76	212.77	172.03	186.07	159.94	148.86	132.96	128.87	123.30	122.08	119.22	111.91	108.20	93.06	84.94	73.12	70.81	64.94	63.29	56.30	56.39	54.35	58.15	60.01	66.64	70.22	78.32	79.90	80.02	78.16	980.43
Feb 22 2023 18:04:25	22812.42	815.72	915.04	548.88	599.67	379.21	353.89	248.99	234.97	195.42	208.81	187.31	176.24	164.50	162.08	158.58	158.98	155.00	145.48	136.82	116.48	103.30	88.94	85.56	78.91	75.78	67.74	67.02	64.93	69.20	71.88	79.68	84.25	93.75	94.94	94.34	90.94	980.45
Feb 22 2023 18:04:26	19334.76	892.02	997.85	589.12	636.67	383.13	360.48	253.78	238.05	201.12	215.68	197.92	191.98	184.30	186.72	186.88	190.72	185.07	178.23	166.29	145.03	128.87	114.48	111.37	107.14	105.11	99.43	101.22	102.79	111.02	118.28	131.51	139.51	153.65	155.20	152.92	145.58	980.45
Feb 22 2023 18:04:27	21758.54	830.16	952.61	555.61	602.98	374.22	347.14	238.06	223.44	183.38	194.81	171.77	161.97	149.12	145.88	142.72	141.41	135.70	131.36	121.29	106.60	95.14	84.89	82.75	78.25	76.54	71.43	73.16	73.62	80.15	84.87	94.79	100.62	111.33	113.23	112.14	107.89	980.45
Feb 22 2023 18:04:28	23695.54	834.83	966.37	583.44	634.78	381.46	358.59	244.75	228.53	182.88	195.43	167.89	153.25	134.74	126.92	118.90	114.00	104.86	98.03	89.15	75.24	65.87	56.69	55.28	51.07	51.15	46.69	49.23	49.19	54.40	57.28	64.75	68.98	77.41	79.52	79.76	78.14	980.47
Feb 22 2023 18:04:29	23757.95	958.42	1082.83	644.48	706.42	422.26	386.86	257.64	239.38	192.60	205.02	177.10	159.07	141.37	134.20	127.38	123.98	119.33	111.79	106.52	91.54	82.54	70.84	67.54	60.85	59.11	52.88	53.90	52.43	56.50	58.52	65.20	68.60	76.30	77.82	77.48	75.33	980.49
Feb 22 2023 18:04:30	23213.10	763.88	896.41	535.16	596.56	357.38	345.25	241.96	229.45	185.40	198.86	176.81	169.16	158.13	157.07	155.91	156.34	151.56	143.85	131.89	111.86	97.00	82.93	78.96	72.17	68.49	60.87	60.49	58.69	62.79	65.14	72.25	76.46	85.22	87.01	86.87	84.33	980.50
Feb 22 2023 18:04:31	23143.72	812.41	889.53	549.44	582.36	360.46	333.20	231.99	211.04	169.48	177.08	152.52	138.97	125.54	119.80	114.98	111.59	107.31	102.33	96.13	83.83	76.12	67.29	66.45	62.28	61.36	56.14	57.59	57.07	62.20	65.45	73.33	78.22	87.59	89.99	90.05	87.95	980.53
Feb 22 2023 18:04:32	23340.65	908.24	966.79	573.14	608.75	376.84	346.59	241.46	219.40	173.87	180.61	156.09	142.28	126.86	120.27	114.44	110.93	104.58	99.64	92.16	79.67	70.68	61.39	60.03	56.35	56.22	51.69	53.64	53.56	58.85	62.04	69.77	74.42	83.43	85.74	85.80	83.81	980.54
Feb 22 2023 18:04:33	24017.88	805.42	915.56	570.38	619.94	384.53	349.07	238.48	218.50	175.13	184.85	157.11	137.39	119.42	109.90	102.41	97.46	92.08	87.27	83.82	73.58	69.04	61.29	60.77	56.18	55.97	50.37	51.68	50.40	54.58	56.61	63.12	66.45	73.83	75.01	74.40	71.95	980.54
Feb 22 2023 18:04:34	23312.64	930.48	1011.13	606.85	637.85	400.89	361.22	250.29	227.00	181.53	189.21	163.90	146.35	131.63	124.45	118.44	115.31	110.29	104.87	99.01	85.78	77.17	66.28	63.94	58.91	58.31	53.04	54.77	54.18	59.14	62.03	69.55	73.88	82.63	84.71	84.66	82.51	980.59
Feb 22 2023 18:04:35	23021.99	999.77	1146.74	639.84	698.41	419.61	387.05	258.40	237.92	189.99	198.64	172.91	155.82	140.91	134.34	129.92	128.23	123.51	117.50	108.07	92.07	80.75	68.99	66.36	61.71	60.72	55.49	56.86	56.52	61.51	64.81	72.41	77.30	86.05	88.39	88.02	85.71	980.64
Feb 22 2023 18:04:36	22556.00	961.74	935.43	590.18	599.07	383.66	345.36	242.53	216.40	175.44	179.30	156.31	143.54	132.54	129.09	126.87	126.77	124.42	119.42	114.37	101.42	93.27	83.58	82.18	77.51	75.22	68.22	68.04	66.51	71.06	73.92	82.17	86.36	96.60	97.07	97.03	93.84	980.68
Feb 22 2023 18:04:37	22638.73	773.02	769.54	504.16	521.25	330.94	306.36	220.96	200.96	160.68	164.46	144.83	137.79	128.28	126.75	125.23	126.42	124.45	120.78	114.92	101.91	92.53	81.59	79.24	74.47	72.08	65.23	64.78	63.42	67.91	70.94	78.95	84.11	94.27	96.58	96.98	94.92	980.68
Feb 22 2023 18:04:38	23613.47	831.81	898.73	575.32	603.63	383.89	341.44	239.81	217.64	173.57	181.12	156.44	140.39	127.74	121.06	118.13	116.98	115.58	112.25	107.42	95.54	87.60	76.82	74.00	68.02	65.39	58.11	57.52	55.34	58.97	60.88	67.52	71.30	79.70	81.23	81.29	79.06	980.70
Feb 22 2023 18:04:39	21024.21	1152.20	1188.91	702.41	723.77	433.01	389.23	271.01	247.78	199.20	207.87	182.75	169.91	157.25	153.82	151.24	151.25	147.66	139.27	132.19	113.72	100.75	86.68	83.65	79.49	78.92	73.65	75.38	76.00	82.71	88.08	98.68	105.95	118.34	122.08	122.37	119.56	980.69
